GeneId,Prediction
1,0.408002257
2,0.337792903
3,0.937493086
4,0.144835934
5,0.143206552
6,0.869359493
7,0.059059743
8,0.02914463
9,0.833134115
10,0.037486214
11,0.699999392
12,0.89265126
13,0.087508611
14,0.621172667
15,0.752351165
16,0.946797252
17,0.596691966
18,0.94839561
19,0.935106337
20,0.464270085
21,0.642558455
22,0.142743662
23,0.758937418
24,0.089887343
25,0.061295278
26,0.919974148
27,0.006969994
28,0.184140667
29,0.304644793
30,0.983519018
31,0.716538787
32,0.065674193
33,0.118070304
34,0.891545355
35,0.372114509
36,0.211742595
37,0.161905378
38,0.189422235
39,0.533601522
40,0.018815106
41,0.61944294
42,0.500111103
43,0.853347719
44,0.652230859
45,0.98944664
46,0.94597441
47,0.83120805
48,0.532827377
49,0.934139907
50,0.129695639
51,0.932598829
52,0.447198868
53,0.74310118
54,0.917811036
55,0.959911108
56,0.966441691
57,0.040590178
58,0.338292301
59,0.730678976
60,0.835494637
61,0.377922356
62,0.22901319
63,0.577395499
64,0.835527539
65,0.089600451
66,0.146914676
67,0.809341431
68,0.139391378
69,0.724745452
70,0.982624888
71,0.018755507
72,0.227223963
73,0.016931398
74,0.646132886
75,0.169124454
76,0.102968194
77,0.216183811
78,0.929911911
79,0.699326277
80,0.917490423
81,0.906287313
82,0.099749476
83,0.910829008
84,0.908394754
85,0.783982337
86,0.943048
87,0.925229192
88,0.017972663
89,0.980277479
90,0.024210218
91,0.825900495
92,0.320286214
93,0.118892618
94,0.60016346
95,0.907935381
96,0.837150335
97,0.344346613
98,0.941926181
99,0.402877957
100,0.547346473
101,0.946816146
102,0.88428241
103,0.903543711
104,0.750494719
105,0.230094641
106,0.897283137
107,0.615044773
108,0.77534014
109,0.753523469
110,0.233286709
111,0.035969853
112,0.786812127
113,0.950779438
114,0.797455728
115,0.827508628
116,0.116924226
117,0.729258597
118,0.808353543
119,0.051476758
120,0.647091329
121,0.070961989
122,0.685951114
123,0.020451156
124,0.950903356
125,0.762277544
126,0.820626795
127,0.620689332
128,0.020446032
129,0.888887227
130,0.806331694
131,0.067507192
132,0.121511541
133,0.964802861
134,0.030637557
135,0.050864626
136,0.354971707
137,0.934988856
138,0.945407808
139,0.386024147
140,0.057974715
141,0.96053797
142,0.849639654
143,0.253600061
144,0.104194164
145,0.869905412
146,0.613129854
147,0.767074585
148,0.909219325
149,0.765990734
150,0.879391849
151,0.820704162
152,0.050940461
153,0.803516686
154,0.713976979
155,0.203910008
156,0.658438683
157,0.871448636
158,0.941129804
159,0.780769944
160,0.936417997
161,0.148409665
162,0.862052977
163,0.94680202
164,0.118426487
165,0.870153487
166,0.04165826
167,0.958440602
168,0.676019847
169,0.280859977
170,0.611841321
171,0.131664231
172,0.074911416
173,0.312222809
174,0.939585209
175,0.920483649
176,0.67447859
177,0.838451147
178,0.663252532
179,0.064629473
180,0.071873941
181,0.313837081
182,0.067884654
183,0.790694475
184,0.655002534
185,0.85277164
186,0.848543584
187,0.882485271
188,0.931996226
189,0.901383042
190,0.974918008
191,0.461059004
192,0.915549695
193,0.319624156
194,0.159526154
195,0.774847448
196,0.730811775
197,0.196692377
198,0.920836985
199,0.38010788
200,0.922417521
201,0.578376472
202,0.017092045
203,0.137719199
204,0.028905407
205,0.170844346
206,0.899365306
207,0.897669137
208,0.970292211
209,0.316124886
210,0.948319197
211,0.015144776
212,0.075117812
213,0.900010884
214,0.922629237
215,0.6499663
216,0.278958946
217,0.382082224
218,0.42645514
219,0.327571332
220,0.325517237
221,0.687947929
222,0.962452412
223,0.925520182
224,0.400797397
225,0.108144566
226,0.64068234
227,0.657611132
228,0.065364867
229,0.044097535
230,0.050443616
231,0.829788983
232,0.05135012
233,0.939971626
234,0.085365646
235,0.846048295
236,0.198177561
237,0.074053466
238,0.857332408
239,0.643895984
240,0.090338051
241,0.022324823
242,0.869315326
243,0.75567311
244,0.793055475
245,0.665995479
246,0.929070294
247,0.708527982
248,0.978871346
249,0.535151124
250,0.952106357
251,0.681894481
252,0.143587634
253,0.154280528
254,0.089184821
255,0.718058169
256,0.053721171
257,0.831614435
258,0.561700881
259,0.679281354
260,0.83302629
261,0.10144905
262,0.764934242
263,0.918703318
264,0.816049457
265,0.336224228
266,0.961475492
267,0.760537028
268,0.079574488
269,0.809585333
270,0.076209769
271,0.725195825
272,0.098576725
273,0.821225703
274,0.810094237
275,0.036964577
276,0.972987652
277,0.255768448
278,0.942212641
279,0.749512553
280,0.024515856
281,0.868050992
282,0.476610154
283,0.062721759
284,0.606810153
285,0.967737377
286,0.862998068
287,0.516943932
288,0.146509185
289,0.028521504
290,0.005099852
291,0.000123782
292,0.905840635
293,0.023110328
294,0.04202703
295,0.187717065
296,0.877506733
297,0.917273939
298,0.459435433
299,0.966863573
300,0.711777806
301,0.071839213
302,0.917056859
303,0.718456447
304,0.510356963
305,0.282648504
306,0.105126709
307,0.941613257
308,0.833552063
309,0.618057013
310,0.092096552
311,0.942153215
312,0.731234729
313,0.729997218
314,0.07337033
315,0.153938517
316,0.575773537
317,0.786389947
318,0.968790352
319,0.889171481
320,0.100874797
321,0.822449028
322,0.892998517
323,0.537945926
324,0.599773645
325,0.798587322
326,0.83250308
327,0.05694373
328,0.951830149
329,0.368592948
330,0.962702215
331,0.870633483
332,0.820054889
333,0.058934253
334,0.095450714
335,0.168229043
336,0.900729954
337,0.870809257
338,0.893908322
339,0.611639738
340,0.632583857
341,0.993212521
342,0.4351013
343,0.215544969
344,0.001127275
345,0.961033821
346,0.892616749
347,0.664224386
348,0.010811567
349,0.113460541
350,0.72241497
351,0.072927848
352,0.395281017
353,0.500301838
354,0.960976124
355,0.497410983
356,0.156310752
357,0.420147926
358,0.773141325
359,0.810755551
360,0.937285662
361,0.587033689
362,0.932881057
363,0.029112158
364,0.244489506
365,0.045267817
366,0.886882186
367,0.979140997
368,0.124272242
369,0.186765805
370,0.34928748
371,0.844117761
372,0.078525729
373,0.161744833
374,0.871647179
375,0.456041664
376,0.448024809
377,0.985769868
378,0.26309219
379,0.029184783
380,0.074636176
381,0.872689962
382,0.340341628
383,0.102157898
384,0.087502904
385,0.725306928
386,0.079109244
387,0.859232366
388,0.873739421
389,0.710313678
390,0.525559127
391,0.904949188
392,0.895152807
393,0.670274377
394,0.070654422
395,0.283243179
396,0.986037791
397,0.697001696
398,0.476009279
399,0.917239308
400,0.920540512
401,0.808286607
402,0.803001225
403,0.890886426
404,0.373935014
405,0.492099255
406,0.976825178
407,0.925888956
408,0.541535437
409,0.950526595
410,0.925849557
411,0.311266035
412,0.648142636
413,0.083984949
414,0.036753763
415,0.269358814
416,0.972031713
