GeneId,Prediction
1,0.419165701
2,0.535095155
3,0.983103156
4,0.119939707
5,0.148482144
6,0.844566882
7,0.053529307
8,0.054259025
9,0.845333636
10,0.031338591
11,0.783281803
12,0.88011533
13,0.050950792
14,0.590729833
15,0.851194143
16,0.999514639
17,0.659767568
18,0.810077846
19,0.9488644
20,0.423134685
21,0.626668036
22,0.160042614
23,0.911137223
24,0.087835513
25,0.128900006
26,0.967629135
27,0.017281629
28,0.430667549
29,0.307948232
30,0.990906656
31,0.734414816
32,0.029784638
33,0.093252383
34,0.916077316
35,0.691194654
36,0.218551129
37,0.071582265
38,0.109082855
39,0.343612015
40,0.0285665
41,0.640365064
42,0.296988994
43,0.945782423
44,0.5179317
45,0.996827245
46,0.939548314
47,0.68449384
48,0.716323078
49,0.967597842
50,0.189939037
51,0.950888991
52,0.494364977
53,0.719828844
54,0.893600643
55,0.985075533
56,0.979750693
57,0.025657013
58,0.617280841
59,0.855508924
60,0.886754811
61,0.456086487
62,0.148762554
63,0.434149921
64,0.892076731
65,0.081288934
66,0.420531332
67,0.862953424
68,0.092655122
69,0.800979912
70,0.876901269
71,0.010832291
72,0.183863088
73,0.033178914
74,0.634086192
75,0.115082562
76,0.078968845
77,0.169020325
78,0.905335605
79,0.728464901
80,0.832860172
81,0.973567665
82,0.095239311
83,0.870676041
84,0.962634504
85,0.889763296
86,0.926917255
87,0.929732502
88,0.02970773
89,0.988253832
90,0.024705427
91,0.76363039
92,0.253145486
93,0.096356779
94,0.514814973
95,0.940599144
96,0.900958598
97,0.359986901
98,0.916481435
99,0.51482439
100,0.552588224
101,0.886895061
102,0.886870623
103,0.956611395
104,0.74950099
105,0.170374408
106,0.892799139
107,0.863783956
108,0.832689762
109,0.806051195
110,0.547164142
111,0.027269728
112,0.687527895
113,0.959308028
114,0.707662523
115,0.834378302
116,0.094716333
117,0.699835777
118,0.900060415
119,0.041239973
120,0.861337543
121,0.039446793
122,0.92339474
123,0.021542117
124,0.930240273
125,0.700741351
126,0.770035267
127,0.516442597
128,0.023494953
129,0.94140631
130,0.74330461
131,0.054987978
132,0.140184879
133,0.988595068
134,0.027769187
135,0.042917676
136,0.371999353
137,0.858581424
138,0.862048745
139,0.499663502
140,0.041459251
141,0.858030319
142,0.909511805
143,0.263397187
144,0.165360153
145,0.940200686
146,0.588418186
147,0.748555779
148,0.81216222
149,0.750091076
150,0.677984416
151,0.871023357
152,0.091730937
153,0.727772772
154,0.590746343
155,0.08608216
156,0.881582618
157,0.971285582
158,0.915145397
159,0.757845581
160,0.959983885
161,0.134332523
162,0.941914141
163,0.989096522
164,0.106229804
165,0.901693583
166,0.0483279
167,0.994309783
168,0.615167499
169,0.271343231
170,0.606215417
171,0.087075315
172,0.055034209
173,0.40935877
174,0.959479988
175,0.82293725
176,0.774258912
177,0.794365287
178,0.636116743
179,0.130126506
180,0.061879516
181,0.239175215
182,0.032513987
183,0.769423723
184,0.81993264
185,0.771687925
186,0.8562572
187,0.842084527
188,0.963185072
189,0.945892394
190,0.989014268
191,0.517568469
192,0.897263229
193,0.173249185
194,0.123734735
195,0.691624463
196,0.709306121
197,0.42601046
198,0.866727293
199,0.324465543
200,0.962481976
201,0.794076979
202,0.040551499
203,0.116444819
204,0.043988351
205,0.123197339
206,0.933913291
207,0.872415185
208,0.983690381
209,0.207883164
210,0.906410813
211,0.026781993
212,0.055389974
213,0.990614891
214,0.980239809
215,0.717132866
216,0.202902809
217,0.222366124
218,0.410155922
219,0.130467609
220,0.214546338
221,0.719163537
222,0.96107173
223,0.873767376
224,0.50885886
225,0.101294167
226,0.725910783
227,0.606069565
228,0.120693482
229,0.029972432
230,0.036936525
231,0.767630279
232,0.064887092
233,0.938499212
234,0.044738598
235,0.837294638
236,0.236925304
237,0.106950276
238,0.85343641
239,0.422293574
240,0.084435135
241,0.040812477
242,0.881006241
243,0.85265255
244,0.933324218
245,0.751907587
246,0.890724182
247,0.732473016
248,0.989696443
249,0.647744179
250,0.983941913
251,0.724426389
252,0.110075481
253,0.108767264
254,0.099617995
255,0.728488982
256,0.060736191
257,0.878368556
258,0.35927844
259,0.815575004
260,0.881117642
261,0.04355903
262,0.764524817
263,0.988792002
264,0.746124446
265,0.416162074
266,0.957267463
267,0.819297969
268,0.074682884
269,0.939211547
270,0.076686233
271,0.878969014
272,0.061732583
273,0.576599538
274,0.869292259
275,0.024563391
276,0.971776426
277,0.248012409
278,0.986537278
279,0.847630858
280,0.032461137
281,0.875129759
282,0.343485713
283,0.047073051
284,0.375213087
285,0.995795965
286,0.962004304
287,0.327096194
288,0.081958167
289,0.032734822
290,0.015802564
291,0.002600531
292,0.927338958
293,0.031901203
294,0.046470802
295,0.108359002
296,0.786891341
297,0.905451655
298,0.424479008
299,0.985866427
300,0.654900789
301,0.082264617
302,0.935894907
303,0.58515209
304,0.362711817
305,0.360771179
306,0.081516311
307,0.973489642
308,0.835453689
309,0.678775489
310,0.156413317
311,0.932243943
312,0.817003369
313,0.799450874
314,0.087083235
315,0.093743891
316,0.767821848
317,0.94939512
318,0.905409157
319,0.928629518
320,0.057585996
321,0.768498838
322,0.776175618
323,0.484313667
324,0.57022655
325,0.719990134
326,0.893705428
327,0.06292554
328,0.930227458
329,0.575454831
330,0.933463871
331,0.912170887
332,0.896047056
333,0.060697768
334,0.09632355
335,0.090035431
336,0.904389977
337,0.932473063
338,0.951340616
339,0.503773212
340,0.768359423
341,0.995353818
342,0.288239866
343,0.153350607
344,0.012161489
345,0.981485248
346,0.934554577
347,0.924697757
348,0.016607992
349,0.171655774
350,0.802170157
351,0.054565333
352,0.452619106
353,0.567814887
354,0.916966081
355,0.306284696
356,0.154086098
357,0.424449921
358,0.87347424
359,0.888195097
360,0.970947146
361,0.548775434
362,0.973463595
363,0.056879207
364,0.286659986
365,0.060431074
366,0.955475092
367,0.984919429
368,0.10836485
369,0.126494154
370,0.267073989
371,0.888213694
372,0.052036118
373,0.056880437
374,0.880580425
375,0.453718156
376,0.398213238
377,0.997543991
378,0.266627342
