GeneId,Prediction
1,0.528517663
2,0.517327785
3,0.978909791
4,0.12690261
5,0.122448795
6,0.852564096
7,0.062736809
8,0.047829185
9,0.865444064
10,0.045742813
11,0.780902445
12,0.926999629
13,0.055317082
14,0.643912017
15,0.939465344
16,0.999040306
17,0.535021067
18,0.83360219
19,0.96024549
20,0.448146313
21,0.650872469
22,0.198096216
23,0.91098237
24,0.063845627
25,0.135871768
26,0.965838492
27,0.022478836
28,0.428458363
29,0.228166729
30,0.982098401
31,0.714663982
32,0.042782195
33,0.131687388
34,0.937627912
35,0.704353988
36,0.211947307
37,0.115224682
38,0.133074239
39,0.496731967
40,0.025808232
41,0.620590031
42,0.27928558
43,0.955408454
44,0.571256042
45,0.998301268
46,0.916595638
47,0.861243188
48,0.740899086
49,0.976754308
50,0.231527254
51,0.937502205
52,0.38940078
53,0.856289506
54,0.969157398
55,0.978789806
56,0.973139405
57,0.04016998
58,0.720625103
59,0.870969355
60,0.798106372
61,0.616587639
62,0.134497479
63,0.504975975
64,0.812229097
65,0.071075462
66,0.618477762
67,0.88596648
68,0.198408514
69,0.738555312
70,0.891222596
71,0.013677443
72,0.178814337
73,0.026633216
74,0.597854018
75,0.165297344
76,0.086288735
77,0.225727528
78,0.933106303
79,0.669705093
80,0.802988827
81,0.981066823
82,0.106957614
83,0.919768274
84,0.983383715
85,0.904314756
86,0.939897537
87,0.975013614
88,0.032276735
89,0.990135431
90,0.03153
91,0.794539213
92,0.2502186
93,0.120505624
94,0.516020834
95,0.899848819
96,0.903625667
97,0.351405263
98,0.929709375
99,0.548045993
100,0.531416714
101,0.90426898
102,0.866894424
103,0.887422502
104,0.785207748
105,0.295671552
106,0.904076397
107,0.837754488
108,0.845319927
109,0.717792273
110,0.578694105
111,0.041762352
112,0.706571937
113,0.923846483
114,0.764485836
115,0.788854182
116,0.115110174
117,0.811116755
118,0.89430517
119,0.046765883
120,0.708052874
121,0.056830589
122,0.944196403
123,0.034576759
124,0.928060472
125,0.842978239
126,0.735692382
127,0.469818056
128,0.027009903
129,0.944826901
130,0.775236547
131,0.065057136
132,0.128593713
133,0.984133124
134,0.031934541
135,0.054097671
136,0.373749465
137,0.817273796
138,0.904438376
139,0.469353318
140,0.098017715
141,0.916735768
